taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID,GTDB-Tk Domain,GTDB-Tk Phylum,GTDB-Tk Class,GTDB-Tk Order,GTDB-Tk Family,GTDB-Tk Genus,GTDB-Tk Species,GOLD Analysis Project ID,Award DOI,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Geographic Location,Latitude,Longitude,Genome Size  * assembled,Gene Count  * assembled,CheckM2 Completeness,CheckM2 Contamination,ITS AP ID,ITS SP ID,,ITS AP ID - 90 Complete,Taxon-oid (no AP ID) - 90% 
2935343106,Bacteria,Permanent Draft,Genome sequencing of novel secondary metabolite producing bacteria for plant Disease control,Pseudomonas vancouverensis DhA-51,DOE Joint Genome Institute  (JGI),2935343106,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E laurylsulfatiphila,Ga0496529,10.46936/10.25585/60001209,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"USA: Decorah, IA",43.3158,-91.7984,6559376,6105,100,0.12,1327588,1278300,,1000002,2582580701
2808606414,Bacteria,Permanent Draft,Plant growth-promoting bacteria from the rhizosphere of the beachgrass Ammophila breviligulata,Pantoea sp. SJZ147,DOE Joint Genome Institute  (JGI),2808606414,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea allii,Ga0314263,10.46936/10.25585/60000946,Host-associated,Plants,Rhizosphere,Roots,Soil,,,,4917181,4720,100,0,1208563,1208594,,1000005,2710723751
2919688452,Bacteria,Permanent Draft,"Sorghum-associated microbial communities from plants grown in Nebraska, USA",Pararheinheimera soli 4138,DOE Joint Genome Institute  (JGI),2919688452,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Alteromonadaceae,Pararheinheimera,Unclassified,Ga0454474,10.46936/10.25585/60001066,Host-associated,Plants,Unclassified,Roots,Unclassified,"USA: Grant County, Nebraska",41.929,-101.928,4595932,4205,100,0.22,1280490,1280598,,1000008,2626542327
2510436004,Bacteria,Finished,Facultative Metal-reducing Gamma proteobacteria,Shewanella putrefaciens 200,DOE Joint Genome Institute  (JGI),2510436004,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Shewanellaceae,Shewanella,Shewanella putrefaciens,Ga0025096,,Engineered,Wastewater,Petrochemical,Industrial wastewater,Unclassified,"Alberta, Canada",,,4840251,4310,100,0.37,1377326,,,1000011,2721755200
2582580701,Bacteria,Draft,"Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA",Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.6070,DOE Joint Genome Institute  (JGI),2582580701,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973,Unclassified,Ga0048118,10.46936/10.25585/60000533,,,,,,,,,878995,971,100,0.04,,,,1000014,2585428052
2521172639,Bacteria,Permanent Draft,Plant associated metagenomes--Microbial community diversity and host control of community assembly across model and emerging plant ecological genomics systems.,Pseudomonas sp. LAMO17WK12:I5,DOE Joint Genome Institute  (JGI),2521172639,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E putida_A,Ga0001088,10.46936/10.25585/60000944,,,,,,,,,6103916,5575,100,0.25,1007072,1007071,,1000017,2708742668
2959993424,Bacteria,Permanent Draft,Large-scale genome sequencing for establishing a Natural Products Genomics Resource Center (NPGRC),Actinobacteria bacterium 21258,DOE Joint Genome Institute  (JGI),2959993424,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis sp003947415,Ga0532626,10.46936/10.25585/60001355,,,,,,,,,9291592,8705,100,0.95,1357098,1357701,,1000020,2626542068
2802428814,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains",Kribbella voronezhensis VKM Ac-2575,DOE Joint Genome Institute  (JGI),2802428814,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Kribbellaceae,Kribbella,Kribbella sp004365175,Ga0310573,10.46936/10.25585/60001401,,,,,,,,,8032448,7518,100,0.86,1203304,1203373,,1000023,2708742980
2772190796,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains",Algoriphagus boseongensis CECT 8446,DOE Joint Genome Institute  (JGI),2772190796,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus boseongensis,Ga0244635,10.46936/10.25585/60001401,,,,,,,,,4176921,3692,100,0,1175205,1175266,,1000026,2711768570
2671180174,Bacteria,Permanent Draft,Sequencing the genomes of 1000 actinobacteria strains,Streptomyces sp. PAN_FS17,DOE Joint Genome Institute  (JGI),2671180174,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces chartreusis,Ga0104729,10.46936/10.25585/60001044,,,,,,,,,10467880,9260,100,0.16,1097316,1097327,,1000029,2710724058
2954016120,Bacteria,Permanent Draft,Comparative genomics of wheat-associated soil bacteria to identify genetic determinants of phenazine resistance,Flavobacterium sp. W4I14,DOE Joint Genome Institute  (JGI),2954016120,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Unclassified,Ga0505390,10.46936/10.25585/60000525,Host-associated,Plants,Rhizosphere,Roots,Unclassified,"USA: Washington, Lind Dryland Research Station",,,6446024,5697,100,0.35,1337129,1337233,,1000035,2710723908
2518645594,Bacteria,Permanent Draft,Plant associated metagenomes--Microbial community diversity and host control of community assembly across model and emerging plant ecological genomics systems.,Pseudomonas sp. URIL14HWK12:I2,DOE Joint Genome Institute  (JGI),2518645594,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E fulva,Ga0001049,10.46936/10.25585/60000944,,,,,,,,,4717612,4418,100,0.14,1006955,1006954,,1000038,2788500116
2540341249,Bacteria,Permanent Draft,The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.,Levilactobacillus brevis AG48,DOE Joint Genome Institute  (JGI),2540341249,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Ga0004233,10.46936/10.25585/60000534,Host-associated,Mammals,Stomach,Digestive system,Rumen,,,,2595994,2716,100,0.92,1020267,1020266,,1000041,2711768342
2667528171,Bacteria,Permanent Draft,Comparative genomics of bacterial root endophytes of switchgrass collected from native prairies over two seasons,Pseudomonas sp. NFPP22,DOE Joint Genome Institute  (JGI),2667528171,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E protegens,Ga0059014,10.46936/10.25585/60000672,Host-associated,Plants,Rhizoplane,Roots,Endophytes,,36.8108,-96.4338,6900659,6286,100,0.52,1049704,1049703,,1000044,644736333
2863263905,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains",Streptomyces netropsis CECT 3265 (Annotation) (version 2),DOE Joint Genome Institute  (JGI),2863263905,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces netropsis,Ga0436945,10.46936/10.25585/60001401,,,,,,,,,8041454,7157,100,0.01,1276925,1205798,,1000047,2711768573
2963062276,Bacteria,Permanent Draft,Large-scale genome sequencing for establishing a Natural Products Genomics Resource Center (NPGRC),Actinobacteria bacterium 20858,DOE Joint Genome Institute  (JGI),2963062276,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Unclassified,Ga0535158,10.46936/10.25585/60001355,,,,,,,,,8748038,8122,100,0.15,1360415,1361115,,1000050,2519899768
